family_id,method,reference,metric,n_patients,n_records,n_windows,window_policy,effect_definition,higher_is_better,method_mean,reference_mean,mean,sd,ci95_low,ci95_high,p_value_raw,p_value_holm,cohen_dz,effect_size_status,method_wins,reference_wins,ties,interpretation
frozen_repaired_physiology_120_exploratory,pretrained_corr_spectral,pretrained_corr,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.2729316237721915,0.26638783666741983,0.006543787104771671,0.14243169032674646,-0.03575320388282074,0.04884077809236408,0.7567814695061341,1.0,0.045943336695364975,defined,23,23,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,matched_layerwise_calibrated_mse,matched_1d_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.2682585811675538,0.19342796433734744,0.07483061683020638,0.18672803911736155,0.019379233998483306,0.13028199966192944,0.00929299255793311,1.0,0.4007465466028599,defined,32,14,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,matched_layerwise_calibrated_mse,pretrained_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.2682585811675538,0.20007728962388868,0.06818129154366509,0.2883583276873465,-0.01745056158823982,0.15381314467557,0.11578622245337819,1.0,0.23644641058395544,defined,28,18,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth2_diagonal,depth1,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.20256586114206487,0.2001841370438315,0.0023817240982334322,0.19890158788905693,-0.056684756479659724,0.061448204676126585,0.9356317288875106,1.0,0.011974384536145117,defined,27,19,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_diagonal,depth2_diagonal,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.22147434317944495,0.20256586114206487,0.018908482037380044,0.1837024227884483,-0.035644403652994955,0.07346136772775504,0.4887034849064655,1.0,0.10292995459921098,defined,23,23,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_diagonal,depth1,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.22147434317944495,0.2001841370438315,0.02129020613561347,0.13500498091383217,-0.01880132439311001,0.06138173666433695,0.2905168929305233,1.0,0.15769941221059158,defined,26,20,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_lowrank,depth3_diagonal,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.17995498253294998,0.22147434317944495,-0.04151936064649499,0.20683716070182018,-0.10294241545988889,0.019903694166898904,0.1801504112778371,1.0,-0.20073453196522056,defined,23,23,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,depth3_lowrank,depth1,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.17995498253294998,0.2001841370438315,-0.020229154510881534,0.2448146172788545,-0.09293012180909875,0.05247181278733569,0.5779676925383815,1.0,-0.08263050113482255,defined,25,21,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_hard_lag,pretrained_corr,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.2602444245698271,0.26638783666741983,-0.006143412097592752,0.2091908340572287,-0.06826542162024458,0.05597859742505908,0.8430191406554691,1.0,-0.029367501330923935,defined,20,26,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_hard_lag,pretrained_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.2602444245698271,0.20007728962388868,0.06016713494593838,0.2019472395431585,0.0001962074695400287,0.12013806242233674,0.049286283033194996,1.0,0.2979349214282276,defined,31,15,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_corr,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.25334488410088163,0.26638783666741983,-0.01304295256653822,0.16467386706619921,-0.06194505472661531,0.03585914959353888,0.5937809610746857,1.0,-0.07920475057098723,defined,23,23,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_mse,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.25334488410088163,0.20007728962388868,0.05326759447699294,0.18542202417861686,-0.0017959497917879944,0.10833113874577388,0.05761814787901829,1.0,0.2872776020699694,defined,32,14,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_hard_lag,waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.25334488410088163,0.2602444245698271,-0.006899540468945463,0.10530451304368085,-0.03817112075380692,0.024372039815916,0.6588995096775914,1.0,-0.06551989339795436,defined,23,23,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_mse,random_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.5324157902847351,0.5189358105557257,0.013479979729009378,0.09396630811693545,-0.014424569310896264,0.04138452876891502,0.3357732814693469,1.0,0.14345545759054779,defined,27,19,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,matched_1d_mse,random_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.5151007859132598,0.5189358105557257,-0.0038350246424660368,0.10181463542096139,-0.03407023919988765,0.026400189914955574,0.7995255925427518,1.0,-0.03766673255381996,defined,19,27,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_mse,matched_1d_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.5324157902847351,0.5151007859132598,0.01731500437147542,0.078528212288789,-0.006004996113184453,0.04063500485613529,0.14177412819666702,1.0,0.2204940602467704,defined,29,17,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_corr,pretrained_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.5571761371847501,0.5324157902847351,0.02476034690001511,0.09156904654751519,-0.002432303328860068,0.05195299712889029,0.07327975614267584,1.0,0.27040083776745416,defined,29,17,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_spectral,pretrained_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.5365397239626738,0.5324157902847351,0.004123933677938593,0.0717157586253672,-0.017173017789019397,0.025420885144896585,0.6983689535399649,1.0,0.057503870236964634,defined,27,19,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_corr_spectral,pretrained_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.558804703976581,0.5324157902847351,0.02638891369184593,0.09663385461400592,-0.0023077988749176485,0.05508562625860951,0.07057416657263763,1.0,0.27308145574088666,defined,25,21,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_corr_spectral,pretrained_corr,max_lag_waveform_correlation,46,53,not_applicable,not_applicable_waveform,method_minus_reference,True,0.558804703976581,0.5571761371847501,0.0016285667918308163,0.06502143751214151,-0.017680416694514187,0.020937550278175822,0.8658703283532097,1.0,0.025046613150112418,defined,21,25,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
